Company,CIQ Ticker,Insider,Public Float,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic
SP_COMPANY_NAME,ciqticker,SHARES_OWNED_INSIDERS,SP_NO_FLOAT_SHARES,SHARES_OWNED_INSTN_BANKS/INVEST_BANKS,SHARES_OWNED_INSTN_CHARITABLE_FOUNDATIONS,SHARES_OWNED_INSTN_CORP_PENSION_SPONSORS,SHARES_OWNED_INSTN_EDUCATIONAL/CULTURAL_ENDOWMENTS,SHARES_OWNED_INSTN_FAMILY_OFFICES/TRUSTS,SHARES_OWNED_INSTN_GOVT_PENSION_SPONSORS,SHARES_OWNED_INSTN_INSURANCE_COMPANIES,SHARES_OWNED_INSTN_INVEST_MGRS,SHARES_OWNED_INSTN_REIT,SHARES_OWNED_INSTN_UNCLASSIFIED,SHARES_OWNED_INSTN_UNION_PENSION_SPONSORS,SHARES_OWNED_INSTN_HEDGE_FUND_MGRS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_SOVEREIGN_WEALTH_FUNDS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_VC/PE_FIRMS_LESS5PCT_STAKE,SHARES_OWNED_STRATEGIC_HEDGE_FUND_MGRS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_VC/PE_FIRMS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_SOVEREIGN_WEALTH_FUNDS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_COMPANY_CONTROLLED_FOUNDATIONS,SHARES_OWNED_STRATEGIC_ESOP,SHARES_OWNED_STRATEGIC_STATE_OWNER,SHARES_OWNED_STRATEGIC_CORPORATIONS_PRIVATE,SHARES_OWNED_STRATEGIC_CORPORATIONS_PUBLIC
Thien Viet Securities Joint Stock Company,HOSE:TVS,"63,276,317","88,038,355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Topsports International Holdings Limited,SEHK:6110,NA,"2,734,543,449","550,931,344",NA,NA,NA,NA,"11,108,577",NA,"544,715,617",NA,NA,NA,"61,512",NA,"2,886,000",NA,"2,163,605,107",NA,NA,NA,NA,"1,303,073,468",NA
PT Bukalapak.com Tbk.,IDX:BUKA,"2,456,048,000","65,521,675,853","14,888,016,193",NA,NA,NA,NA,NA,NA,"6,285,088,319",NA,NA,NA,"1,200,000",NA,NA,NA,NA,NA,NA,NA,NA,"9,736,593,677","25,385,649,537"
Tencent Music Entertainment Group,NYSE:TME,NA,"687,960,478","40,360,361",NA,"643,426","72,800","757,058","33,622,517",NA,"317,176,490",NA,NA,NA,"47,916,178","554,002","790,572",NA,NA,NA,NA,NA,NA,"19,237","970,934,555"
PTT Oil and Retail Business Public Company Limited,SET:OR,"14,350","2,778,378,631","82,182,200",NA,NA,NA,NA,"1,205,620",NA,"487,634,756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"221,607,019",NA,"9,000,000,000"
Joint Stock Commercial Bank for Foreign Trade of Vietnam,HOSE:VCB,NA,NA,"7,601,655",NA,NA,NA,NA,"1,230,392",NA,"154,129,739",NA,NA,NA,"28,556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
True Corporation Public Company Limited,SET:TRUE,"19,415,340","9,951,094,892","2,060,695",NA,NA,NA,NA,"8,165,185",NA,"1,045,085,402",NA,NA,NA,"791,017",NA,NA,NA,NA,NA,NA,NA,NA,"17,162,280,432","7,419,310,137"
PT Bank MNC Internasional Tbk,IDX:BABP,"2,433,100","18,619,630,266",NA,NA,NA,NA,NA,NA,NA,"115,057,588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22,389,649,507"
PT Bank Negara Indonesia (Persero) Tbk,IDX:BBNI,"17,107,998","14,861,302,568","713,458,998",NA,NA,NA,NA,"69,809,795",NA,"4,372,180,346",NA,NA,NA,"4,093,609",NA,NA,NA,NA,NA,NA,NA,"22,378,387,750",NA,NA
China Gas Holdings Limited,SEHK:384,"590,654,428","3,000,223,401","11,624,134",NA,NA,NA,400,"1,217,028",NA,"651,450,418",NA,NA,NA,"174,373",NA,NA,NA,NA,NA,NA,NA,NA,"569,262,200","1,275,433,143"
