ciqticker,SP_COMPANY_NAME,ownership_score,insider_activity_score,final_score
SET:WHA,WHA Corporation Public Company Limited,4.214215318561294,7.6487700805208085,6.149440075260681
SET:TC,Tropical Canning (Thailand) Public Company Limited,4.061007898268562,7.6684223502087905,6.076516359796983
BSE:533080,Mold-Tek Packaging Limited,4.070680940520561,7.64507815703771,6.069051644919496
NSEI:TRIVENI,Triveni Engineering & Industries Limited,4.01471856877204,7.588290298433659,6.007487821439333
KOSDAQ:A243840,"Shin Heung Energy & Electronics Co.,Ltd.",3.873027197830732,7.64877181113428,5.963145655911646
NSEI:PERSISTENT,Persistent Systems Limited,3.8173776753272084,7.645607920895556,5.9310323861736824
IDX:MYOR,PT Mayora Indah Tbk,3.8006612257345864,7.6497059097544176,5.924142460656231
NSEI:AARTIPHARM,Aarti Pharmalabs Limited,3.7423324967886153,7.649609205958101,5.892241035560685
SEHK:3669,China Yongda Automobiles Services Holdings Limited,3.7813438915653346,7.570540582989859,5.870369008179667
IDX:DEPO,PT Caturkarda Depo Bangunan Tbk,3.7016789829796752,7.64877008052081,5.869585245765017
KOSE:A383220,"F&F Co., Ltd",3.6942487528579644,7.64877008052081,5.865528195289825
NSEI:AJANTPHARM,Ajanta Pharma Limited,3.7646357894745437,7.555801255254399,5.8531980985267635
KOSDAQ:A215200,MegaStudyEdu Co. Ltd,3.642901044175551,7.648957758340684,5.8375938212365535
SEHK:861,Digital China Holdings Limited,3.497229989071092,7.650966517449128,5.759151407382526
SET:SCB,SCB X Public Company Limited,3.4154307889696596,7.64877008052081,5.7132881523361005
KOSE:A298050,Hyosung Advanced Materials Corporation,3.298483472867764,7.648758646934489,5.649426395266957
SET:TU,Thai Union Group Public Company Limited,3.709592853419833,7.180444904514722,5.618191698669835
NSEI:PAYTM,One97 Communications Limited,2.8781460067052387,7.934905822006804,5.576155880718152
KOSE:A145720,"Dentium CO., LTD",3.163953864009987,7.64877008052081,5.575976849564131
SET:RAM,Ramkhamhaeng Hospital Public Company Limited,3.0905891224351856,7.698205198493595,5.562910808645415
SEHK:806,Value Partners Group Limited,3.134825637391464,7.64877008052081,5.560072270068147
SET:MEB,MEB Corporation Public Company Limited,3.107847502783309,7.64877008052081,5.545341682719041
SZSE:002439,Venustech Group Inc.,3.1105790500120185,7.644107610255727,5.544287361103969
SET:KISS,Rojukiss International Public Company Limited,3.079367158643295,7.64877008052081,5.529790859684735
KOSDAQ:A298540,"The Nature Holdings Co., Ltd.",3.064227739878472,7.648902247471473,5.521596607675489
HOSE:PNJ,Phu Nhuan Jewelry Joint Stock Company,3.057746745864654,7.648060991937437,5.517598516698362
HOSE:DGC,Duc Giang Chemicals Group Joint Stock Company,3.050382273963673,7.64877008052081,5.513964547681386
SET:KCG,KCG Corporation Public Company Limited,2.953997571918877,7.64877008052081,5.46133662165127
SEHK:3600,Modern Dental Group Limited,2.9485206335501375,7.64877008052081,5.4583461065464185
SET:AAV,Asia Aviation Public Company Limited,2.904200984555628,7.648770080520809,5.434146714324613
HOSE:NLG,Nam Long Investment Corporation,2.9348385327927593,7.612226391697029,5.430921846442849
IDX:BMHS,PT Bundamedik Tbk,2.8707777933339482,7.64877008052081,5.415897000438612
PSE:RRHI,"Robinsons Retail Holdings, Inc.",2.806625864634517,7.64877008052081,5.380868796930613
